user_input_plate,user_input_brand,user_input_model,user_input_year,expected_brand,expected_model,expected_year,error_type
BMR 3420,Toyot,Vios,2021,,,,
LQJ 4070,Toyota,Camry,2015,,,,
SHX 7481,Honda,Civicy,2001,,,,
KJB 4513,Toyot,Camr,2025,,,,
XUP 4254,notorP,X70,2099,,,,
RYL 5036,Honda,City,2016,,,,
EYU 1252,Toyot,Vios,2011,,,,
OUG9690,Perodua,Axia,1800,,,,
BCN 8003,Honda,Civic,2022,,,,
OLI 8161,Honda,City,1970,,,,
BBI 6419,Toyota,Vios,2025,,,,
PEY 5149,Hond,Civic,2020,,,,
UID 9940,Honda,City,2017,,,,
TRU 9083,audoreP,Axia,2018,,,,
COM6162,Perodua,Axia,2025,,,,
SJL 4413,Toyota,Vios,1800,,,,
MTH 1012,Toyot,Camry,2099,,,,
VPY 2194,Proton,X70,2023,,,,
VMZ7900,Toyota,Camry,2020,,,,
OVI 8447,Hondaz,ytiC,2016,,,,
BZA 8335,Proton,X70,2020,,,,
TKT 9230,Perodua,Myv,2008,,,,
ZJM 8378,Perodua,aixA,1970,,,,
UHH 8178,Honda,Civic,2009,,,,
YZK 1832,Hond,Civic,2010,,,,
CYY 3402,Proton,X70,2024,,,,
JLB 8196,Honda,Civicx,2018,,,,
HDC 9725,Proton,Saga,2019,,,,
QZR 4326,Proton,Saga,2017,,,,
QDK 4433,Hond,Civic,2007,,,,
BHC 9393,Honda,City,2014,,,,
WKG 7067,Toyotax,Camry,2015,,,,
WEY 6161,Perodua,Axia,2019,,,,
LRL 6887,Hondax,Civic,2016,,,,
UOJ 8789,Toyota,Vio,2018,,,,
BFK7224,Honda,City,2013,,,,
RKB9782,Proton,X7,2020,,,,
KNJ 5191,Perodua,Axia,2024,,,,
MNS4982,Perodua,Axia,1970,,,,
QZE 1291,T0y0ta,Camry,2014,,,,
WEN 5138,Toyota,Camryz,2010,,,,
XKL 1232,Proton,X70,1800,,,,
CYB 1672,Perodua,Myv1,2024,,,,
PSI2629,Toyota,Vio,2021,,,,
EBG8539,T0y0ta,Camry,2006,,,,
OVY 4469,audoreP,Axia,2025,,,,
ZUD 1756,Honda,Civic,2008,,,,
ERW 8291,Proton,Saga,1800,,,,
MQV7615,Peroduaz,Myv,2008,,,,
QQY 1085,Proton,Saga,1970,,,,
YUT 6997,Toyotax,Vios,2024,,,,
SPJ 5371,Toyota,Camry,2018,,,,
NLA 1122,Pr0t0n,X70y,2023,,,,
NER 7413,Toyota,Camry,2018,,,,
WGT 8833,audoreP,Myv1,2022,,,,
AVG 4776,H0nda,City,2011,,,,
VFW 8474,Pr0t0n,X70,2023,,,,
AYE 6789,Toyota,Camryx,2018,,,,
CQY 8281,Perodua,Axia,2018,,,,
TJR 2418,H0nda,City,2019,,,,
BHF4086,Honda,C1ty,2009,,,,
SJX 1640,Per0dua,aixA,2021,,,,
HUY 3909,Perodua,Myvi,2016,,,,
SQU 4604,Toyota,Camry,2012,,,,
PUB 8662,Toyota,Camry,2005,,,,
XMV 3222,Toyota,Camry,2023,,,,
RWR7092,Honda,Civic,2007,,,,
ZEC 5817,Honda,Civicy,2022,,,,
IPT 5840,Proton,X70,2022,,,,
GVF 7466,Honda,civiC,2001,,,,
XRE1894,Proton,agaS,2014,,,,
BXF9781,Proton,X7,2022,,,,
JZO1703,Toyota,Camry,2005,,,,
XBK 7157,Honda,Civic,2016,,,,
PXG 3550,Proton,Saga,2011,,,,
PBS 5094,Toyota,V1os,2015,,,,
XXD 2862,T0y0ta,Camry,2017,,,,
CAG 9460,Perodua,ivyM,2024,,,,
RPM 5303,Toyotay,Vio,2018,,,,
RPN 1865,Perodua,Myvi,1800,,,,
POY 7515,Proton,X70,2025,,,,
KDJ6717,Toyota,Vios,2099,,,,
MJK 3394,Honda,Civi,2013,,,,
DYU9169,Per0dua,Axi,2025,,,,
FPN5781,Honda,City,2019,,,,
XVK 2270,Peroduax,Axia,2025,,,,
CWN7339,Per0dua,Myvi,2021,,,,
YCH 3499,Toyota,Camry,2099,,,,
ERO 4226,Perodua,ivyM,2006,,,,
GPZ4426,Toyota,Vios,2023,,,,
AVM 8608,Honda,Civic,2006,,,,
DMF 3280,Toyota,Vios,2019,,,,
